Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner 
ritz,2014,5019.00,8374.9939,27000,Petrol,Dealer,Manual,0 
sx4,2013,7116.50,14292.9234,43000,Diesel,Dealer,Manual,0 
ciaz,2017,10862.02,14757.3685,6900,Petrol,Dealer,Manual,0 
wagon r,2011,4269.90,6217.5715,5200,Petrol,Dealer,Manual,0 
swift,2014,6891.77,10292.7027,42450,Diesel,Dealer,Manual,0 
vitara brezza,2018,13858.44,14727.4043,2071,Diesel,Dealer,Manual,0 
ciaz,2015,10112.92,12165.4652,18796,Petrol,Dealer,Manual,0 
s cross,2015,9738.37,12899.5881,33429,Diesel,Dealer,Manual,0 
ciaz,2016,13109.34,13319.0869,20273,Diesel,Dealer,Manual,0 
ciaz,2015,11161.66,13364.0332,42367,Diesel,Dealer,Manual,0 
alto 800,2017,4269.90,5393.556,2135,Petrol,Dealer,Manual,0 
ciaz,2015,10262.74,15551.4198,51000,Diesel,Dealer,Manual,0 
ciaz,2015,11236.58,14892.2074,15000,Petrol,Dealer,Automatic,0 
ertiga,2015,9139.08,11551.1991,26000,Petrol,Dealer,Manual,0 
dzire,2009,3370.97,10802.0941,77427,Petrol,Dealer,Manual,0 
ertiga,2016,11611.13,16165.6859,43000,Diesel,Dealer,Manual,0 
ertiga,2015,10862.02,16165.6859,41678,Diesel,Dealer,Manual,0 
ertiga,2016,11611.13,16165.6859,43000,Diesel,Dealer,Manual,0 
wagon r,2015,4869.18,7625.8889,35500,CNG,Dealer,Manual,0 
sx4,2010,3970.26,11955.7158,41442,Petrol,Dealer,Manual,0 
alto k10,2016,4269.90,5917.9295,25000,Petrol,Dealer,Manual,0 
ignis,2017,7341.23,8554.7791,2400,Petrol,Dealer,Manual,0 
sx4,2011,6592.12,12000.6621,50000,Petrol,Dealer,Automatic,0 
alto k10,2014,3745.53,5183.8066,45280,Petrol,Dealer,Manual,0 
wagon r,2013,4344.81,6607.1061,56879,Petrol,Dealer,Manual,0 
swift,2011,4494.63,7476.0679,20000,Petrol,Dealer,Manual,0 
swift,2013,6217.57,8794.4927,55138,Petrol,Dealer,Manual,0 
swift,2017,8989.26,9723.3829,16200,Petrol,Individual,Manual,0 
alto k10,2010,2921.51,5917.9295,44542,Petrol,Dealer,Manual,0 
ciaz,2015,11161.66,15551.4198,45000,Diesel,Dealer,Manual,0 
ritz,2012,4644.45,8959.2958,51439,Diesel,Dealer,Manual,0 
ritz,2011,3520.79,7326.2469,54200,Petrol,Dealer,Manual,0 
swift,2014,7416.14,11221.5929,39000,Diesel,Dealer,Manual,0 
ertiga,2014,8989.26,14907.1895,45000,Diesel,Dealer,Manual,0 
dzire,2014,8240.16,12075.5726,45000,Diesel,Dealer,Manual,0 
sx4,2011,4419.72,11596.1454,49998,CNG,Dealer,Manual,0 
dzire,2015,6966.68,10787.112,48767,Petrol,Dealer,Manual,0 
800,2003,524.37,3415.9188,127000,Petrol,Individual,Manual,0 
alto k10,2016,4494.63,5633.2696,10079,Petrol,Dealer,Manual,0 
sx4,2003,3370.97,11955.7158,62000,Petrol,Dealer,Manual,0 
baleno,2016,8764.53,11790.9127,24524,Petrol,Dealer,Automatic,0 
